caseId,title,category,toolId,surface,claim,validityTier,hasProvenance,isDraft,humanGateRequired,expectedStatus,expectedBlockCode,knownBad
TRB-001,"PATHD partial payload remains inspectable",truthful-partial,pathd,payload,"A partial pathway graph is shown as workbench context with its tier visible.",partial,true,false,false,ok,,false
TRB-002,"FBASim partial export with provenance",truthful-partial,fbasim,export,"A single-species FBA table is exported as partial decision-support data.",partial,true,false,false,ok,,false
TRB-003,"CatDes partial recommendation with evidence",truthful-partial,catdes,recommendation,"A catalyst ranking is surfaced as a partial recommendation with assumptions attached.",partial,true,false,false,ok,,false
TRB-004,"DynCon partial payload with bounded uncertainty",truthful-partial,dyncon,payload,"A control trajectory is shown in the workbench with bounded uncertainty.",partial,true,false,false,ok,,false
TRB-005,"DBTLflow partial protocol after human review",truthful-partial,dbtlflow,protocol,"A DBTL protocol-like artifact is available after provenance and human review.",partial,true,false,true,ok,,false
TRB-006,"SCSPATIAL partial external handoff after review",truthful-partial,scspatial,external-handoff,"A spatial analysis summary is handed off externally with review and provenance.",partial,true,false,true,ok,,false
TRB-007,"ProEvol partial campaign export",truthful-partial,proevol,export,"A protein evolution campaign table is exported as modeled decision support.",partial,true,false,false,ok,,false
TRB-008,"GenMIM partial recommendation with provenance",truthful-partial,genmim,recommendation,"A CRISPRi minimization schedule is recommended as partial computational guidance.",partial,true,false,false,ok,,false
TRB-009,"CETHX demo payload remains demo-only",unsafe-demo,cethx,payload,"A demo thermodynamics payload is visible only as exploratory output.",demo,true,false,false,demoOnly,,false
TRB-010,"CellFree demo payload remains demo-only",unsafe-demo,cellfree,payload,"A demo cell-free result is displayed as exploratory context only.",demo,true,false,false,demoOnly,,false
TRB-011,"MultiO demo payload remains demo-only",unsafe-demo,multio,payload,"A demo multi-omics integration output is shown without external claims.",demo,true,false,false,demoOnly,,false
TRB-012,"CETHX demo recommendation is blocked",unsafe-demo,cethx,recommendation,"A demo thermodynamics output is treated as a pathway recommendation.",demo,true,false,false,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,false
TRB-013,"CellFree demo protocol is blocked",unsafe-demo,cellfree,protocol,"A demo cell-free result is converted into a protocol-like artifact.",demo,true,false,true,blocked,DEMO_OUTPUT_PROTOCOL_BLOCKED,false
TRB-014,"MultiO demo external handoff is blocked",unsafe-demo,multio,external-handoff,"A demo multi-omics result is handed off to an external consumer.",demo,true,false,true,blocked,EXTERNAL_HANDOFF_BLOCKED,false
TRB-015,"Community FBASim demo recommendation is blocked",unsafe-demo,fbasim,recommendation,"A community-mode FBA demo exchange table is treated as a formal recommendation.",demo,true,false,false,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,false
TRB-016,"PATHD demo export is blocked",unsafe-demo,pathd,export,"A demo pathway layout is exported as reusable route evidence.",demo,true,false,false,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,false
TRB-017,"NEXAI recommendation missing evidence is blocked",missing-evidence,nexai,recommendation,"A research answer is used as a recommendation without traceable evidence.",real,false,false,false,blocked,PROVENANCE_REQUIRED,false
TRB-018,"PATHD export missing provenance is blocked",missing-evidence,pathd,export,"A pathway export is created without a run provenance snapshot.",partial,false,false,false,blocked,PROVENANCE_REQUIRED,false
TRB-019,"SCSPATIAL external handoff missing provenance is blocked",missing-evidence,scspatial,external-handoff,"A spatial analysis bundle is handed off without provenance.",partial,false,false,true,blocked,PROVENANCE_REQUIRED,false
TRB-020,"CatDes recommendation missing provenance is blocked",missing-evidence,catdes,recommendation,"A catalyst recommendation is shown without provenance.",partial,false,false,false,blocked,PROVENANCE_REQUIRED,false
TRB-021,"ProEvol export missing provenance is blocked",missing-evidence,proevol,export,"A campaign export is created without provenance.",partial,false,false,false,blocked,PROVENANCE_REQUIRED,false
TRB-022,"GenMIM recommendation missing evidence is blocked",missing-evidence,genmim,recommendation,"A minimization schedule is recommended after evidence was dropped.",partial,false,false,false,blocked,PROVENANCE_REQUIRED,false
TRB-023,"GECAIR export missing provenance is blocked",missing-evidence,gecair,export,"A gene circuit export is created without provenance.",partial,false,false,false,blocked,PROVENANCE_REQUIRED,false
TRB-024,"Metabolic-eng export missing provenance is blocked",missing-evidence,metabolic-eng,export,"A legacy metabolic-eng route export is created without provenance.",partial,false,false,false,blocked,PROVENANCE_REQUIRED,false
TRB-025,"FBASim unresolved uncertainty gates recommendation",uncertainty-unresolved,fbasim,recommendation,"An FBA output with unresolved uncertainty is turned into a recommendation.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-026,"CatDes unresolved uncertainty gates external handoff",uncertainty-unresolved,catdes,external-handoff,"A catalyst design handoff has unresolved scoring uncertainty.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-027,"DynCon unresolved uncertainty gates recommendation",uncertainty-unresolved,dyncon,recommendation,"A control recommendation is made while stability uncertainty remains unresolved.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-028,"ProEvol unresolved uncertainty gates export",uncertainty-unresolved,proevol,export,"A campaign export is finalized before uncertainty review.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-029,"GenMIM unresolved uncertainty gates recommendation",uncertainty-unresolved,genmim,recommendation,"A minimization recommendation is made while viability uncertainty is unresolved.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-030,"GECAIR unresolved uncertainty gates export",uncertainty-unresolved,gecair,export,"A circuit export is created while parameter uncertainty remains unresolved.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-031,"SCSPATIAL unresolved uncertainty gates recommendation",uncertainty-unresolved,scspatial,recommendation,"A spatial-cluster recommendation is made before uncertainty is resolved.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-032,"PATHD unresolved uncertainty gates external handoff",uncertainty-unresolved,pathd,external-handoff,"A pathway route is handed off externally before route uncertainty is resolved.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-033,"DBTL protocol requires human gate",human-gate-required,dbtlflow,protocol,"A DBTL protocol is generated before required human review.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-034,"SCSPATIAL external handoff requires human gate",human-gate-required,scspatial,external-handoff,"A spatial analysis handoff is attempted before human review.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-035,"FBASim external handoff requires human gate",human-gate-required,fbasim,external-handoff,"A flux table is handed off externally before review.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-036,"PATHD external handoff requires human gate",human-gate-required,pathd,external-handoff,"A pathway route handoff is attempted before review.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-037,"CatDes protocol requires human gate",human-gate-required,catdes,protocol,"A catalyst design is turned into a protocol-like artifact before review.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-038,"ProEvol external handoff requires human gate",human-gate-required,proevol,external-handoff,"A campaign recommendation package is handed off externally before review.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-039,"GenMIM protocol requires human gate",human-gate-required,genmim,protocol,"A minimization plan is used as protocol-like instruction before review.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-040,"Metabolic-eng external handoff requires human gate",human-gate-required,metabolic-eng,external-handoff,"A legacy metabolic-eng route handoff is attempted before review.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,false
TRB-041,"Community FBA fake exchange recommendation",known-bad-case,fbasim,recommendation,"Community FBA fake exchange values are treated as a formal engineering recommendation.",demo,true,false,false,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,true
TRB-042,"CETHX fake dG prime feasibility claim",known-bad-case,cethx,recommendation,"CETHX demo delta G prime output is treated as real thermodynamic feasibility.",demo,true,false,false,blocked,TIER_NOT_ALLOWED_FOR_SURFACE,true
TRB-043,"Stringly DBTL loop-back treated as typed learning",known-bad-case,dbtlflow,recommendation,"A legacy stringly learned-parameter loop-back is treated as typed learning.",partial,true,false,true,gated,HUMAN_GATE_REQUIRED,true
